                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1765,                  3.132,                 1.2126,                0.00333,                      1,                0.87125,                0.55888,                    nan,                    nan,                    nan,                0.00026,                0.00026,                0.00026
                      2,                0.88212,                 1.6872,                0.90461,                0.00328,                0.98413,                0.82742,                0.53048,                    nan,                    nan,                    nan,             0.00051327,             0.00051327,             0.00051327
                      3,                0.87442,                 1.4478,                0.95487,                0.00328,                0.98413,                0.96438,                0.71298,                    nan,                    nan,                    nan,             0.00073882,             0.00073882,             0.00073882
                      4,                0.87708,                  1.355,                0.92524,                      1,                0.15131,                0.84276,                0.59673,                    nan,                    nan,                    nan,             0.00093665,             0.00093665,             0.00093665
                      5,                0.85171,                 1.2981,                0.95039,                0.97704,                0.67553,                0.92724,                0.68779,                    nan,                    nan,                    nan,              0.0011068,              0.0011068,              0.0011068
                      6,                0.86406,                 1.2407,                0.95564,                0.94627,                0.95238,                 0.9807,                0.78996,                    nan,                    nan,                    nan,              0.0012491,              0.0012491,              0.0012491
                      7,                0.79267,                 1.1528,                0.94054,                0.97763,                0.95238,                0.98272,                0.79383,                    nan,                    nan,                    nan,              0.0013638,              0.0013638,              0.0013638
                      8,                0.75012,                 1.0292,                0.90938,                0.96606,                0.95238,                0.97236,                0.81441,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                      9,                 0.7427,                0.99906,                0.93515,                0.96818,                0.96825,                 0.9866,                0.82337,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     10,                0.71003,                0.91487,                0.92253,                0.97739,                0.92063,                0.97831,                0.83097,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     11,                0.63561,                 1.0735,                 0.8918,                0.96919,                 0.9985,                0.99437,                 0.8466,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     12,                0.62383,                 1.0073,                0.90322,                0.98291,                0.98413,                0.99189,                0.83463,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     13,                0.59506,                0.93204,                0.88526,                0.98411,                 0.9831,                0.98666,                0.85777,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     14,                0.58921,                0.86505,                0.87345,                 0.9825,                0.98413,                0.99356,                0.84832,                    nan,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     15,                0.59073,                0.85976,                0.89048,                0.98197,                0.98413,                0.98811,                0.85843,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     16,                0.55689,                  0.815,                0.87207,                0.98248,                0.98413,                0.98943,                0.88263,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     17,                0.47255,                0.75552,                0.83147,                0.98407,                0.98056,                0.98872,                0.88459,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     18,                0.47068,                0.73918,                0.82839,                0.98411,                0.98333,                0.98875,                0.91322,                    nan,                    nan,                    nan,               0.000317,               0.000317,               0.000317
                     19,                0.45833,                0.72014,                0.84407,                0.98412,                0.98363,                0.99043,                0.90958,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     20,                0.42837,                0.68395,                0.82312,                0.98412,                0.98393,                0.99202,                 0.9193,                    nan,                    nan,                    nan,               0.000119,               0.000119,               0.000119
